address,latitude,longitude,staff,postal_code,available,capacity,cost_per_unit,total,supports_upi,supports_cash,supports_card,supports_wallet,payment_methods,is_24x7,open_hour,close_hour,supports_2W,supports_3W,supports_4W,power_type_AC,power_type_AC/DC,power_type_DC,zone_central delhi,zone_east delhi,zone_north delhi,zone_north east delhi,zone_north west delhi,zone_south delhi,zone_south east delhi,zone_south west delhi,zone_west delhi,charger_type_5A/15A Socket,charger_type_AC001,charger_type_CCS/ CHAdeMO,charger_type_CCS2,charger_type_CCS2/CHADEMO/TYPE 2 AC,charger_type_CHAdeMO,charger_type_DC,charger_type_DC001,charger_type_Type 2,charger_type_battery_swapping,vendor_name_BLUSMART,vendor_name_BSES,vendor_name_BluSmart,vendor_name_E-Fill Electric,vendor_name_EEE,vendor_name_EESL,vendor_name_ElectriVa,vendor_name_GensolCharge Pvt. Ltd.,vendor_name_HPCL,vendor_name_JBM Renewables,vendor_name_PlugNgo,vendor_name_Powerbank,vendor_name_Pvt. Ltd.,vendor_name_REIL,vendor_name_REVOS,vendor_name_Smart E,vendor_name_Sun Mobility,vendor_name_TPDDL,vendor_name_Verdemobility
"NDMC Parking, Prithviraj Market, Prithviraj Ln, New Delhi, Delhi- 110003 ",28.600735,77.226277,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Outside RWA Park, Jor Bagh Market,  Jor Bagh Colony Road, New Delhi- 110003 ",28.588117,77.217564,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003 ",28.580532,77.221048,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003 ",28.584365,77.22054,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023 ",28.577259,77.19692,0,110023,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021 ",28.585298,77.191008,0,110021,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021 ",28.601809,77.186432,0,110021,2.0,15.0,10.0,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Outside Devinder Collections, Shankar Market, Connaught Place,  New Delhi- 110001 ",28.633733,77.22353,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Opposite HDFC Bank, M- Block,  Connaught Place, New Delhi- 110001 ",28.632973,77.222937,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking, Near NDMC Office,  Fire Brigade Lane, Barakhamba,  New Delhi- 110001 ",28.630256,77.225668,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Opposite South Indian Bank, Block E,  RR6, Middle Circle, Connaught Place,  New Delhi- 110001",28.63363,77.221949,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place,  New Delhi- 110001 ",28.633867,77.22191,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Outside Oriental Bank, Radial Road No. 7,  Block M, Middle Circe, Connaught Place,  New Delhi- 110001 ",28.6001517,77.2157617,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Opposite HP Petrol Pump, Block E, RR7, Middle Circle, Connaught Place, New Delhi- 110001 ",28.631584,77.2219,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Outside Iqbal Bros.,  G1, Block G, Connaught Place,  New Delhi- 110001 ",28.633841,77.217664,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001 ",28.634388,77.221038,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Next to PVR Plaza,  H Block RR4, Connaught Place,  New Delhi- 110001 ",28.63491,77.219522,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi- 110001	",28.621724,77.219286,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Outside Jain Bhawan,  Shaheed Bhagat Singh Marg, Gole Market,  New Delhi- 110001 ",28.633614,77.207691,0,110001,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Outside Standard Chartered Bank,  Sardar Patel Bhawan, Sansad Marg,  New Delhi- 110001 ",28.624419,77.213718,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Side of Hotel Claridges,  Tees January Marg,  Dr. APJ Abdul Kalam Road,  New Delhi- 110003 ",28.600234,77.2135299,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Back of Hotel Claridges,  Tees January Marg,  Dr. APJ Abdul Kalam Road,  New Delhi- 110003 ",28.601118,77.2136033,0,110003,1.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Gate No. 1, Lodhi Gardens, Lodhi Estate, Lodhi Road,  New Delhi-  110003 ",28.59031055,77.2201632,0,110003,1.0,15.0,10.0,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Charak Palika Hospital, C 7 Lane, Moti Bagh 1, Block F, Moti Bagh, New Delhi- 110021 ",28.585367,77.17755,0,110021,1.0,15.0,10.0,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Dilli Haat, West Kidwai Nagar,  New Delhi- 110023 ",28.572793,77.208662,0,110023,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Dilli Haat, West Kidwai Nagar,  New Delhi- 110023 ",28.572793,77.208662,0,110023,1.0,22.0,19.0,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Dilli Haat, West Kidwai Nagar,  New Delhi- 110023 ",28.572793,77.208662,0,110023,2.0,26.0,19.0,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Dilli Haat, West Kidwai Nagar,  New Delhi- 110023 ",28.572793,77.208662,0,110023,2.0,22.0,19.0,2.0,0,1,0,1,2,1,0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Akashwani Bhawan,  Sansad Marg Road,  New Delhi- 110001 ",28.622656,77.210994,0,110001,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDMC Parking,  Talkatora Garden,  President Estate,  New Delhi- 110001 ",28.62203994,77.19486661,0,110001,0.0,15.0,10.0,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003",28.583518,77.222057,0,110003,0.0,15.0,10.0,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSOI Club, Chanakyapuri, New Delhi 110021",28.586638,77.193352,0,110021,1.0,15.0,9.5,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61817712,77.21258998,0,110001,2.0,15.0,9.5,2.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61817712,77.21258998,0,110001,4.0,22.0,19.0,4.0,0,1,0,1,2,1,0,23,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61817712,77.21258998,0,110001,4.0,22.0,19.0,4.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61817712,77.21258998,0,110001,4.0,26.0,19.0,4.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001",28.63388,77.221078,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001",28.63388,77.221078,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001",28.634137,77.220382,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opposite ICICI Bank, Janpath, New Delhi",28.628528,77.21946,0,110001,1.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Near Woodland Showroom, Block B, Inner Circle, Connaught Place, New Delhi 110001",28.634371,77.2195,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001",28.63242,77.218068,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001",28.631121,77.221654,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001",28.626695,77.231943,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001",28.617517,77.213919,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Near NDMC Office, Palika Kendra, New Delhi- 110001",28.6285,77.217046,0,110001,0.0,15.0,9.5,1.0,0,1,0,1,2,1,0,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
