Area,time_of_day,trips,avg_density,density_norm,trips_norm,Traffic_Score
Lajpat Nagar,Evening Peak,110,3.0545454545454547,0.9129525341914724,0.822429906542056,0.8857957458966474
Lajpat Nagar,Morning Peak,81,2.950617283950617,0.8596088714082813,0.5514018691588785,0.7671467707334605
Lajpat Nagar,Night,29,1.3448275862068966,0.03539823008849553,0.06542056074766354,0.04440492928624593
Mayur Vihar,Afternoon,80,2.1875,0.46792035398230086,0.5420560747663551,0.4901610702175171
Mayur Vihar,Evening Peak,98,2.9693877551020407,0.869243272530251,0.7102803738317757,0.8215544029207084
Mayur Vihar,Morning Peak,90,3.011111111111111,0.8906588003933137,0.6355140186915887,0.8141153658827961
Mayur Vihar,Night,29,1.5517241379310345,0.14159292035398227,0.06542056074766354,0.11874121247208665
Model Town,Afternoon,74,2.3378378378378377,0.5450849079167662,0.48598130841121495,0.5273538280651008
Model Town,Evening Peak,125,3.128,0.9506548672566373,0.9626168224299065,0.954243453808618
Model Town,Morning Peak,90,2.7444444444444445,0.7537856440511308,0.6355140186915887,0.7183041564432681
Model Town,Night,23,1.4782608695652173,0.10388611004232388,0.009345794392523364,0.07552401534738373
Nehru Place,Afternoon,92,2.282608695652174,0.51673720661793,0.6542056074766355,0.5579777268755416
Nehru Place,Evening Peak,99,3.101010101010101,0.9368016447662467,0.719626168224299,0.8716490018036624
Nehru Place,Morning Peak,80,3.0125,0.8913716814159294,0.5420560747663551,0.786576999421057
Nehru Place,Night,39,1.4102564102564104,0.06898116632629907,0.1588785046728972,0.0959503678302785
Noida Sector 18,Afternoon,92,2.260869565217391,0.5055790688726433,0.6542056074766355,0.5501670304538409
Noida Sector 18,Evening Peak,107,3.0934579439252334,0.9329253163510048,0.794392523364486,0.8913654784550491
Noida Sector 18,Morning Peak,89,2.9213483146067416,0.8445858605946108,0.6261682242990654,0.7790605697059472
Noida Sector 18,Night,34,1.5588235294117647,0.14523685580426857,0.11214953271028037,0.1353106588760721
Okhla,Afternoon,93,2.193548387096774,0.47102483585498134,0.6635514018691588,0.5287828056592345
Okhla,Evening Peak,110,3.090909090909091,0.9316170555108608,0.822429906542056,0.8988609108202193
Okhla,Morning Peak,77,2.7012987012987013,0.7316400413745546,0.514018691588785,0.6663536364388237
Okhla,Night,34,1.5,0.11504424778761058,0.11214953271028037,0.11417583326441151
Pitampura,Afternoon,84,2.2142857142857144,0.481668773704172,0.5794392523364486,0.5109999172938549
Pitampura,Evening Peak,117,3.1367521367521367,0.9551471144391499,0.8878504672897196,0.9349581202943208
Pitampura,Morning Peak,75,3.0533333333333332,0.912330383480826,0.4953271028037383,0.7872293992776996
Pitampura,Night,32,1.53125,0.13108407079646014,0.09345794392523364,0.1197962327350922
Preet Vihar,Afternoon,79,2.1265822784810124,0.4366528509017586,0.5327102803738317,0.4654700797433805
Preet Vihar,Evening Peak,112,3.1785714285714284,0.9766118836915296,0.8411214953271028,0.9359647671822016
Preet Vihar,Morning Peak,108,2.75,0.756637168141593,0.8037383177570093,0.7707675130262178
Preet Vihar,Night,32,1.625,0.17920353982300882,0.09345794392523364,0.15347986105367625
Punjabi Bagh,Afternoon,87,2.2873563218390807,0.5191740412979352,0.6074766355140186,0.5456648195627603
Punjabi Bagh,Evening Peak,119,3.092436974789916,0.9324012790957091,0.9065420560747663,0.9246435121894263
Punjabi Bagh,Morning Peak,102,2.892156862745098,0.829602637515183,0.7476635514018691,0.8050209116811888
Punjabi Bagh,Night,29,1.2758620689655173,0.0,0.06542056074766354,0.01962616822429906
Rajouri Garden,Afternoon,76,2.223684210526316,0.48649278062412676,0.5046728971962616,0.4919468155957672
Rajouri Garden,Evening Peak,86,3.058139534883721,0.9147972833916445,0.5981308411214953,0.8197973507105996
Rajouri Garden,Morning Peak,107,2.97196261682243,0.8705648829708048,0.794392523364486,0.8477131750889091
Rajouri Garden,Night,30,1.7,0.21769911504424774,0.07476635514018691,0.1748192870730295
Rohini,Afternoon,82,2.3292682926829267,0.5406863803151305,0.5607476635514018,0.5467047652860119
Rohini,Evening Peak,104,3.201923076923077,0.9885976855003406,0.7663551401869159,0.9219249219063131
Rohini,Morning Peak,90,2.966666666666667,0.8678466076696166,0.6355140186915887,0.7981468309762082
Rohini,Night,35,1.4,0.06371681415929194,0.12149532710280374,0.08105036804234547
Saket,Afternoon,82,2.2560975609756095,0.5031297215627022,0.5607476635514018,0.520415104159312
Saket,Evening Peak,119,3.1176470588235294,0.9453409682457055,0.9065420560747663,0.9337012945944236
Saket,Morning Peak,98,2.816326530612245,0.7906808741195593,0.7102803738317757,0.7665607240332242
Saket,Night,31,1.6129032258064515,0.17299457607764765,0.08411214953271028,0.14632984811416644
Shahdara,Afternoon,96,2.25,0.5,0.6915887850467289,0.5574766355140186
Shahdara,Evening Peak,111,2.990990990990991,0.8803316590927212,0.8317757009345794,0.8657648716452786
Shahdara,Morning Peak,80,3.1,0.936283185840708,0.5420560747663551,0.8180150525184021
Shahdara,Night,26,1.6538461538461537,0.19400953029271606,0.037383177570093455,0.14702162447592926
Vasant Kunj,Afternoon,90,2.3,0.5256637168141592,0.6355140186915887,0.5586188073773881
Vasant Kunj,Evening Peak,117,3.1538461538461537,0.9639210347174949,0.8878504672897196,0.9410998644891623
Vasant Kunj,Morning Peak,105,2.895238095238095,0.8311841550779604,0.7757009345794392,0.814539188928404
Vasant Kunj,Night,36,1.3055555555555556,0.015240904621435554,0.1308411214953271,0.04992096968360301
