Station_ID,City,Date,Vehicle_Type,Charging_Start_Time,Charging_End_Time,Energy_Consumed_kWh,Cost_INR,Payment_Method,Charging_Start,Charging_End,Session_Duration_Minutes,Start_Hour,End_Hour,Day_of_Week,Is_Weekend,Month,supports_2W,supports_3W,supports_4W
ST307,Delhi,2025-10-15,Bike,06:49,09:11,30.0,300.0,Card,2025-10-15 06:49:00,2025-10-15 09:11:00,142.0,6,9,Wednesday,False,10,1,0,0
ST313,Delhi,2025-10-15,Bus,07:11,08:56,99.2,992.0,UPI,2025-10-15 07:11:00,2025-10-15 08:56:00,105.0,7,8,Wednesday,False,10,0,0,1
ST316,Delhi,2025-10-15,Car,08:42,10:27,88.0,880.0,Card,2025-10-15 08:42:00,2025-10-15 10:27:00,105.0,8,10,Wednesday,False,10,0,0,1
ST318,Delhi,2025-10-15,Truck,16:19,17:45,99.5,995.0,UPI,2025-10-15 16:19:00,2025-10-15 17:45:00,86.0,16,17,Wednesday,False,10,0,0,1
ST342,Delhi,2025-10-15,Bike,18:32,19:27,47.0,470.0,UPI,2025-10-15 18:32:00,2025-10-15 19:27:00,55.0,18,19,Wednesday,False,10,1,0,0
ST360,Delhi,2025-10-15,Truck,16:36,19:09,69.8,698.0,Card,2025-10-15 16:36:00,2025-10-15 19:09:00,153.0,16,19,Wednesday,False,10,0,0,1
ST369,Delhi,2025-10-15,Car,19:20,21:08,81.8,818.0,Cash,2025-10-15 19:20:00,2025-10-15 21:08:00,108.0,19,21,Wednesday,False,10,0,0,1
ST380,Delhi,2025-10-15,Truck,19:01,21:26,89.4,894.0,Card,2025-10-15 19:01:00,2025-10-15 21:26:00,145.0,19,21,Wednesday,False,10,0,0,1
ST397,Delhi,2025-10-15,Truck,12:30,13:18,21.9,219.0,Card,2025-10-15 12:30:00,2025-10-15 13:18:00,48.0,12,13,Wednesday,False,10,0,0,1
ST399,Delhi,2025-10-15,Bike,16:39,18:21,52.4,524.0,Cash,2025-10-15 16:39:00,2025-10-15 18:21:00,102.0,16,18,Wednesday,False,10,1,0,0
ST404,Delhi,2025-10-15,Car,17:47,20:23,69.3,693.0,UPI,2025-10-15 17:47:00,2025-10-15 20:23:00,156.0,17,20,Wednesday,False,10,0,0,1
ST420,Delhi,2025-10-15,Car,08:26,08:59,32.5,325.0,UPI,2025-10-15 08:26:00,2025-10-15 08:59:00,33.0,8,8,Wednesday,False,10,0,0,1
ST421,Delhi,2025-10-15,Car,17:51,20:50,73.2,732.0,Cash,2025-10-15 17:51:00,2025-10-15 20:50:00,179.0,17,20,Wednesday,False,10,0,0,1
ST428,Delhi,2025-10-15,Truck,06:20,07:30,99.3,993.0,Card,2025-10-15 06:20:00,2025-10-15 07:30:00,70.0,6,7,Wednesday,False,10,0,0,1
ST440,Delhi,2025-10-15,Bike,18:24,20:09,41.8,418.0,UPI,2025-10-15 18:24:00,2025-10-15 20:09:00,105.0,18,20,Wednesday,False,10,1,0,0
ST445,Delhi,2025-10-15,Bus,19:14,20:16,97.5,975.0,Cash,2025-10-15 19:14:00,2025-10-15 20:16:00,62.0,19,20,Wednesday,False,10,0,0,1
ST449,Delhi,2025-10-15,Bus,07:25,09:55,10.6,106.0,Cash,2025-10-15 07:25:00,2025-10-15 09:55:00,150.0,7,9,Wednesday,False,10,0,0,1
ST451,Delhi,2025-10-15,Bus,17:20,19:35,86.9,869.0,Card,2025-10-15 17:20:00,2025-10-15 19:35:00,135.0,17,19,Wednesday,False,10,0,0,1
ST452,Delhi,2025-10-15,Bike,13:36,16:00,18.4,184.0,UPI,2025-10-15 13:36:00,2025-10-15 16:00:00,144.0,13,16,Wednesday,False,10,1,0,0
ST460,Delhi,2025-10-15,Bike,10:42,11:38,60.0,600.0,UPI,2025-10-15 10:42:00,2025-10-15 11:38:00,56.0,10,11,Wednesday,False,10,1,0,0
ST462,Delhi,2025-10-15,Car,13:30,15:13,65.9,659.0,Card,2025-10-15 13:30:00,2025-10-15 15:13:00,103.0,13,15,Wednesday,False,10,0,0,1
ST467,Delhi,2025-10-15,Car,08:42,09:38,46.5,465.0,Cash,2025-10-15 08:42:00,2025-10-15 09:38:00,56.0,8,9,Wednesday,False,10,0,0,1
ST475,Delhi,2025-10-15,Car,11:36,13:07,83.6,836.0,Card,2025-10-15 11:36:00,2025-10-15 13:07:00,91.0,11,13,Wednesday,False,10,0,0,1
ST480,Delhi,2025-10-15,Car,15:49,18:24,29.7,297.0,Card,2025-10-15 15:49:00,2025-10-15 18:24:00,155.0,15,18,Wednesday,False,10,0,0,1
ST495,Delhi,2025-10-15,Bike,14:24,15:42,30.9,309.0,UPI,2025-10-15 14:24:00,2025-10-15 15:42:00,78.0,14,15,Wednesday,False,10,1,0,0
ST498,Delhi,2025-10-15,Truck,16:55,18:21,30.8,308.0,Cash,2025-10-15 16:55:00,2025-10-15 18:21:00,86.0,16,18,Wednesday,False,10,0,0,1
